Entity,Code,Year,Period life expectancy at birth,time
Afghanistan,,,,1738
Afghanistan,AFG,2023,66.0346,2023
Albania,,,,1738
Albania,ALB,2023,79.6019,2023
Algeria,,,,1738
Algeria,DZA,2023,76.261,2023
Andorra,,,,1738
Andorra,AND,2023,84.0406,2023
Angola,,,,1738
Angola,AGO,2023,64.617,2023
Antigua and Barbuda,,,,1738
Antigua and Barbuda,ATG,2023,77.5976,2023
Argentina,,,,1738
Argentina,ARG,2023,77.3947,2023
Armenia,,,,1738
Armenia,ARM,2023,75.6827,2023
Australia,,,,1738
Australia,AUS,2023,83.9228,2023
Austria,,,,1738
Austria,AUT,2023,81.9559,2023
Azerbaijan,,,,1738
Azerbaijan,AZE,2023,74.4286,2023
Bahamas,,,,1738
Bahamas,BHS,2023,74.5518,2023
Bahrain,,,,1738
Bahrain,BHR,2023,81.2835,2023
Bangladesh,,,,1738
Bangladesh,BGD,2023,74.6723,2023
Barbados,,,,1738
Barbados,BRB,2023,76.1782,2023
Belarus,,,,1738
Belarus,BLR,2023,74.4339,2023
Belgium,,,,1738
Belgium,BEL,2023,82.115,2023
Belize,,,,1738
Belize,BLZ,2023,73.5656,2023
Benin,,,,1738
Benin,BEN,2023,60.7738,2023
Bhutan,,,,1738
Bhutan,BTN,2023,72.9753,2023
Bolivia,,,,1738
Bolivia,BOL,2023,68.5814,2023
Bosnia and Herzegovina,,,,1738
Bosnia and Herzegovina,BIH,2023,77.8504,2023
Botswana,,,,1738
Botswana,BWA,2023,69.1631,2023
Brazil,,,,1738
Brazil,BRA,2023,75.8482,2023
Brunei,,,,1738
Brunei,BRN,2023,75.3266,2023
Bulgaria,,,,1738
Bulgaria,BGR,2023,75.6363,2023
Burkina Faso,,,,1738
Burkina Faso,BFA,2023,61.092,2023
Burundi,,,,1738
Burundi,BDI,2023,63.6511,2023
Cambodia,,,,1738
Cambodia,KHM,2023,70.6675,2023
Cameroon,,,,1738
Cameroon,CMR,2023,63.6996,2023
Canada,,,,1738
Canada,CAN,2023,82.6302,2023
Cape Verde,,,,1738
Cape Verde,CPV,2023,76.0587,2023
Central African Republic,,,,1738
Central African Republic,CAF,2023,57.4077,2023
Chad,,,,1738
Chad,TCD,2023,55.0692,2023
Chile,,,,1738
Chile,CHL,2023,81.1667,2023
China,,,,1738
China,CHN,2023,77.9529,2023
Colombia,,,,1738
Colombia,COL,2023,77.7246,2023
Comoros,,,,1738
Comoros,COM,2023,66.7768,2023
Congo,,,,1738
Congo,COG,2023,65.772,2023
Costa Rica,,,,1738
Costa Rica,CRI,2023,80.7995,2023
Cote d'Ivoire,,,,1738
Cote d'Ivoire,CIV,2023,61.9438,2023
Croatia,,,,1738
Croatia,HRV,2023,78.5803,2023
Cuba,,,,1738
Cuba,CUB,2023,78.0855,2023
Cyprus,,,,1738
Cyprus,CYP,2023,81.648,2023
Czechia,,,,1738
Czechia,CZE,2023,79.8341,2023
Democratic Republic of Congo,,,,1738
Democratic Republic of Congo,COD,2023,61.895,2023
Denmark,,,,1738
Denmark,DNK,2023,81.9328,2023
Djibouti,,,,1738
Djibouti,DJI,2023,65.9865,2023
Dominica,,,,1738
Dominica,DMA,2023,71.1325,2023
Dominican Republic,,,,1738
Dominican Republic,DOM,2023,73.7201,2023
East Timor,,,,1738
East Timor,TLS,2023,67.6894,2023
Ecuador,,,,1738
Ecuador,ECU,2023,77.3924,2023
Egypt,,,,1738
Egypt,EGY,2023,71.6335,2023
El Salvador,,,,1738
El Salvador,SLV,2023,72.0993,2023
Equatorial Guinea,,,,1738
Equatorial Guinea,GNQ,2023,63.7071,2023
Eritrea,,,,1738
Eritrea,ERI,2023,68.6239,2023
Estonia,,,,1738
Estonia,EST,2023,79.1535,2023
Eswatini,,,,1738
Eswatini,SWZ,2023,64.1227,2023
Ethiopia,,,,1738
Ethiopia,ETH,2023,67.315,2023
Fiji,,,,1738
Fiji,FJI,2023,67.3157,2023
Finland,,,,1738
Finland,FIN,2023,81.9102,2023
France,,,,1738
France,FRA,2023,83.3253,2023
French Guiana,,,,1738
French Guiana,GUF,2023,76.9781,2023
Gabon,,,,1738
Gabon,GAB,2023,68.3367,2023
Gambia,,,,1738
Gambia,GMB,2023,65.8603,2023
Georgia,,,,1738
Georgia,GEO,2023,74.4965,2023
Germany,,,,1738
Germany,DEU,2023,81.3777,2023
Ghana,,,,1738
Ghana,GHA,2023,65.4979,2023
Greece,,,,1738
Greece,GRC,2023,81.8568,2023
Greenland,,,,1738
Greenland,GRL,2023,70.055,2023
Grenada,,,,1738
Grenada,GRD,2023,75.2052,2023
Guatemala,,,,1738
Guatemala,GTM,2023,72.6023,2023
Guinea,,,,1738
Guinea,GIN,2023,60.7405,2023
Guinea-Bissau,,,,1738
Guinea-Bissau,GNB,2023,64.0849,2023
Guyana,,,,1738
Guyana,GUY,2023,70.1802,2023
Haiti,,,,1738
Haiti,HTI,2023,64.9356,2023
Honduras,,,,1738
Honduras,HND,2023,72.8842,2023
Hungary,,,,1738
Hungary,HUN,2023,77.024,2023
Iceland,,,,1738
Iceland,ISL,2023,82.6911,2023
India,,,,1738
India,IND,2023,72.0026,2023
Indonesia,,,,1738
Indonesia,IDN,2023,71.1457,2023
Iran,,,,1738
Iran,IRN,2023,77.6545,2023
Iraq,,,,1738
Iraq,IRQ,2023,72.3242,2023
Ireland,,,,1738
Ireland,IRL,2023,82.4118,2023
Israel,,,,1738
Israel,ISR,2023,82.408,2023
Italy,,,,1738
Italy,ITA,2023,83.7157,2023
